visitorID,UnitTime,TotalTime,TotalAttractions
436,6.75,135,20
878,7.68,261,34
941,12.26,417,34
1197,6.60,231,35
1217,9.85,256,26
1634,6.97,265,38
1727,6.00,126,21
1775,8.83,256,29
1951,7.88,260,33
1980,6.97,223,32
2231,6.59,145,22
2369,5.24,89,17
2672,10.66,373,35
2679,6.24,131,21
2705,6.25,125,20
2706,7.44,134,18
3499,6.00,132,22
4343,5.08,122,24
4773,5.68,142,25
4828,6.71,275,41
4908,5.08,132,26
6110,11.15,379,34
6162,10.00,300,30
6286,6.08,146,24
6393,4.58,55,12
6534,11.15,379,34
6936,11.54,404,35
7111,5.95,125,21
7157,5.96,143,24
7228,7.00,140,20
7339,9.98,409,41
7478,6.55,144,22
7509,5.86,123,21
7554,5.39,124,23
7613,5.44,147,27
7639,11.04,265,24
7680,5.70,131,23
8129,6.22,255,41
8385,9.16,284,31
8672,8.16,253,31
8764,8.12,130,16
8908,10.27,154,15
8931,4.54,109,24
9103,8.12,260,32
9565,5.43,114,21
9591,6.70,154,23
9924,8.10,243,30
10019,4.52,122,27
10089,5.00,120,24
10371,8.86,390,44
10802,3.53,53,15
11053,7.78,249,32
11269,7.52,331,44
11297,10.15,274,27
11311,7.36,331,45
11400,5.90,242,41
11459,3.93,59,15
11810,4.86,102,21
12030,6.53,124,19
12061,5.14,108,21
12470,7.30,146,20
13052,9.22,378,41
13354,9.12,374,41
13357,7.00,147,21
13876,6.90,145,21
13920,9.38,150,16
14100,5.14,108,21
14215,6.11,116,19
14290,11.22,303,27
14557,5.64,141,25
14754,6.89,62,9
14835,6.63,272,41
14916,6.18,136,22
15466,9.54,391,41
15490,5.52,116,21
15712,9.52,438,46
15715,7.48,329,44
15746,7.60,152,20
15755,6.14,135,22
15811,5.14,108,21
16732,7.80,156,20
17074,9.59,163,17
17425,6.80,272,40
17612,10.63,372,35
17688,4.76,119,25
17740,6.08,152,25
17914,11.84,367,31
18121,7.50,270,36
18134,4.12,99,24
