attractionId,timeslice,AverageTime,StdTime,AnomolousVisitorId
0,0,0,0,null
1,0,1.538461538,0.656191408,941|878|134375
2,0,2,1.261680124,932874|672552|698208
3,0,1.37704918,0.51572221,7339
4,0,1.452830189,0.497770036,null
5,0,1.424242424,0.654726533,18121|42749|7554
6,0,1.423728814,0.527767659,7157
7,0,2.382978723,1.109156603,295158|941|7478|15490
8,0,1.579545455,0.602439601,1156815|1640316|1039362|1999943|182809
9,0,2.692307692,0.821313712,562597
10,0,2,0,null
11,0,2.4,0.883628881,2705|827053
12,0,2,0.730296743,null
13,0,1.294117647,0.553287089,436
14,0,1.391304348,0.567756403,436
15,0,1.2,0.45607017,69478
16,0,2.136363636,0.743302174,941|1217
17,0,1.4,0.489897949,null
18,0,1.352941176,0.579695801,436
19,0,1,0,null
20,0,2.692307692,1.380335265,null
21,0,2.096774194,0.742839787,941|1591840|10371
22,0,1.95,0.497493719,398618|1938259
23,0,1.586206897,0.492512305,null
24,0,2.076923077,0.474185693,1820085
25,0,1.142857143,0.349927106,324556
26,0,1.8,0.695701085,2679
27,0,1.793103448,0.847607598,75552|18121|42749|2679|687983
28,0,1.5,0.565961571,436
29,0,2.285714286,1.111823549,941
30,0,1.914893617,0.796623438,75552|2679|7478|687983|1483004|1980|849521
31,0,1.153846154,0.360801212,2007242|797787
32,0,2.019607843,1.128771605,422300|2007598|1007202
33,0,1.764705882,0.644379479,null
34,0,2,0.894427191,436
35,0,0,0,null
36,0,0,0,null
37,0,0,0,null
38,0,0,0,null
39,0,4.5,0.5,null
40,0,2.733333333,1.289271974,null
41,0,1.555555556,1.003423495,null
42,0,1.52173913,0.591785082,7339
43,0,0,0,null
44,0,4,0,null
45,0,2.272727273,1.842604566,null
46,0,1.891304348,0.932895841,846280
47,0,3.071428571,1.553703372,null
48,0,2.055555556,0.524110063,1326863|1456874
49,0,1.772727273,0.793829509,null
50,0,0,0,null
51,0,0,0,null
52,0,2.303030303,0.78380667,1980
53,0,2.5,0.5,null
54,0,1.916666667,0.939427032,17914
55,0,1.3,0.9,440242
56,0,3,1.095445115,null
57,0,1,0,null
58,0,2,0,null
59,0,2.125,1.452368755,null
60,0,0,0,null
61,0,2.428571429,0.81619897,878
62,0,0,0,null
63,0,0,0,null
64,0,2.866666667,0.917161483,1318220|436|1197|73436
65,0,0,0,null
66,0,0,0,null
67,0,2.411764706,0.599884649,2007515
68,0,0,0,null
69,0,0,0,null
70,0,0,0,null
71,0,0,0,null
72,0,0,0,null
73,0,0,0,null
74,0,0,0,null
75,0,0,0,null
76,0,0,0,null
77,0,0,0,null
78,0,0,0,null
79,0,0,0,null
80,0,0,0,null
81,0,1.947368421,0.913163682,7157
82,0,0,0,null
